symbol,engine_cross_usd,cross_shares,yahoo_close_usd,diff_cents,verdict,note
AAPL,323.8700,1114964,323.87,+0.00,MATCH,de-split x4
AMD,48.7800,1053768,48.78,+0.00,MATCH,
AMZN,1870.6800,93662,1870.68,+0.01,MATCH,de-split x20
FB,209.5300,1115026,209.53,+0.00,MATCH,via META
INTC,66.4700,1969903,66.47,-0.00,MATCH,
IWM,-,-,163.93,-,n/a,
LK,36.4000,129034,-,-,unavailable,
MDLZ,58.8000,1552827,58.80,+0.00,MATCH,
MSFT,172.7800,3275168,172.78,+0.00,MATCH,
MU,55.0300,984212,55.03,+0.00,MATCH,
PYPL,117.1200,878810,117.12,-0.00,MATCH,
QCOM,87.7800,735348,87.78,+0.00,MATCH,
QQQ,222.6000,430395,222.60,-0.00,MATCH,
SBUX,85.8400,715190,85.84,+0.00,MATCH,
SPY,-,-,327.68,-,n/a,
TQQQ,98.4800,5164,98.48,-0.00,MATCH,de-split x8
TSLA,640.8100,125958,640.81,-0.00,MATCH,de-split x15
TVIX,46.5700,1535,46.57,+0.00,MATCH,
UVXY,-,-,12.10,-,n/a,de-split x0.0004
VXX,-,-,14.60,-,n/a,de-split x0.015625
